

*******************************************************************************
Ephemeris / WWW_USER Tue Mar 19 06:17:22 2024 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1996-Feb-14 15:30:00.0000 TDB
Stop  time      : A.D. 1996-Feb-16 19:00:00.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2450128.145833333, A.D. 1996-Feb-14 15:30:00.0000, -1.214579539808516E+08,  8.377846985228330E+07,  3.001725425069034E+04, -1.639624431806340E+01, -2.464169161259341E+01,  3.384403608849595E-02,
2450128.146527778, A.D. 1996-Feb-14 15:31:00.0000, -1.214589377460320E+08,  8.377699134986956E+07,  3.001928445360810E+04, -1.639592836851817E+01, -2.464172217680369E+01,  3.382939423263842E-02,
2450128.147222222, A.D. 1996-Feb-14 15:32:00.0000, -1.214599214922564E+08,  8.377551284562226E+07,  3.002131377797574E+04, -1.639561244729186E+01, -2.464175273256750E+01,  3.381475106933252E-02,
2450128.147916667, A.D. 1996-Feb-14 15:33:00.0000, -1.214609052195263E+08,  8.377403433954185E+07,  3.002334222371131E+04, -1.639529655438631E+01, -2.464178327989052E+01,  3.380010659902943E-02,
2450128.148611111, A.D. 1996-Feb-14 15:34:00.0000, -1.214618889278435E+08,  8.377255583162884E+07,  3.002536979074031E+04, -1.639498068980336E+01, -2.464181381877840E+01,  3.378546082214129E-02,
2450128.149305556, A.D. 1996-Feb-14 15:35:00.0000, -1.214628726172096E+08,  8.377107732188377E+07,  3.002739647898450E+04, -1.639466485354489E+01, -2.464184434923679E+01,  3.377081373912461E-02,
2450128.150000000, A.D. 1996-Feb-14 15:36:00.0000, -1.214638562876264E+08,  8.376959881030710E+07,  3.002942228836566E+04, -1.639434904561272E+01, -2.464187487127136E+01,  3.375616535040749E-02,
2450128.150694444, A.D. 1996-Feb-14 15:37:00.0000, -1.214648399390956E+08,  8.376812029689936E+07,  3.003144721880183E+04, -1.639403326600869E+01, -2.464190538488776E+01,  3.374151565642691E-02,
2450128.151388889, A.D. 1996-Feb-14 15:38:00.0000, -1.214658235716189E+08,  8.376664178166109E+07,  3.003347127021477E+04, -1.639371751473467E+01, -2.464193589009166E+01,  3.372686465761277E-02,
2450128.152083333, A.D. 1996-Feb-14 15:39:00.0000, -1.214668071851980E+08,  8.376516326459272E+07,  3.003549444253370E+04, -1.639340179179250E+01, -2.464196638688871E+01,  3.371221235441091E-02,
