

*******************************************************************************
Ephemeris / WWW_USER Wed Mar 13 11:05:03 2024 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: SOHO (spacecraft) (-21)         {source: SOHO_merged}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1995-Dec-02 00:01:02.0000 TDB
Stop  time      : A.D. 1996-Jan-06 00:00:00.0000 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.240312.p240605
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2024-MAR-12. PREDICTS-> 2024-JUN-04
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2450054.542384259, A.D. 1995-Dec-03 01:01:02.0000, -8.048498947607201E+04, -1.234619006342916E+05, -7.403130033374354E+04, -5.869592731493964E-01, -1.677896652115549E+00, -9.821932312117769E-01,
2450054.584050926, A.D. 1995-Dec-03 02:01:02.0000, -8.255335653088339E+04, -1.294331996670476E+05, -7.752573376144760E+04, -5.625435309778198E-01, -1.639989428701178E+00, -9.594603422457991E-01,
2450054.625717592, A.D. 1995-Dec-03 03:01:02.0000, -8.453802244017673E+04, -1.352731609789695E+05, -8.094144157224700E+04, -5.403974062792292E-01, -1.604866518529142E+00, -9.384178000623334E-01,
2450054.667384259, A.D. 1995-Dec-03 04:01:02.0000, -8.644654693456659E+04, -1.409911642781297E+05, -8.428411258970140E+04, -5.201936148321025E-01, -1.572180336934399E+00, -9.188525140334572E-01,
2450054.709050926, A.D. 1995-Dec-03 05:01:02.0000, -8.828542779960639E+04, -1.465954393313482E+05, -8.755873866830893E+04, -5.016669691775170E-01, -1.541642695393088E+00, -9.005878914853523E-01,
2450054.750717592, A.D. 1995-Dec-03 06:01:02.0000, -9.006029885734105E+04, -1.520932759392382E+05, -9.076972868900269E+04, -4.846002787511346E-01, -1.513011903656957E+00, -8.834764382853079E-01,
2450054.792384259, A.D. 1995-Dec-03 07:01:02.0000, -9.177608396133794E+04, -1.574911639367020E+05, -9.392100254964617E+04, -4.688131510911194E-01, -1.486083569208163E+00, -8.673931588584717E-01,
2450054.834050926, A.D. 1995-Dec-03 08:01:02.0000, -9.343710798637320E+04, -1.627949131844485E+05, -9.701606516455067E+04, -4.541551920542656E-01, -1.460683398050411E+00, -8.522319571837134E-01,
2450054.875717592, A.D. 1995-Dec-03 09:01:02.0000, -9.504720283210506E+04, -1.680097335695538E+05, -1.000580644543316E+05, -4.404991065484730E-01, -1.436661695433146E+00, -8.379016364385834E-01,
2450054.917384259, A.D. 1995-Dec-03 10:01:02.0000, -9.660977440509053E+04, -1.731403749631780E+05, -1.030498633555167E+05, -4.277369983388742E-01, -1.413889165558764E+00, -8.243234990140077E-01,
2450054.959050926, A.D. 1995-Dec-03 11:01:02.0000, -9.812787063526495E+04, -1.781911072897575E+05, -1.059940228306794E+05, -4.157763707724108E-01, -1.392253111850178E+00, -8.114292471233107E-01,
2450055.000717592, A.D. 1995-Dec-03 12:01:02.0000, -9.960422945438653E+04, -1.831658404543077E+05, -1.088929028084830E+05, -4.045374263903506E-01, -1.371654937212896E+00, -7.991588825296337E-01,
2450055.042384259, A.D. 1995-Dec-03 13:01:02.0000, -1.010413218103152E+05, -1.880681644101692E+05, -1.117486532461658E+05, -3.939512672431212E-01, -1.352008143981003E+00, -7.874601066098171E-01,
2450055.084050926, A.D. 1995-Dec-03 14:01:02.0000, -1.024413936450684E+05, -1.929013490832119E+05, -1.145632441091879E+05, -3.839575953571692E-01, -1.333236034450751E+00, -7.762862209612126E-01,
2450055.125717592, A.D. 1995-Dec-03 15:01:02.0000, -1.038064659162222E+05, -1.976684243956032E+05, -1.173384853874875E+05, -3.745036124007636E-01, -1.315270710323160E+00, -7.655963264470586E-01,
2450055.167384259, A.D. 1995-Dec-03 16:01:02.0000, -1.051384086009456E+05, -2.023721903295139E+05, -1.200760670247262E+05, -3.655429196045351E-01, -1.298051373202402E+00, -7.553535240927277E-01,
2450055.209050926, A.D. 1995-Dec-03 17:01:02.0000, -1.064389116416970E+05, -2.070152268307603E+05, -1.227775289976576E+05, -3.570345178988528E-01, -1.281523824544800E+00, -7.455251145795929E-01,
2450055.250717592, A.D. 1995-Dec-03 18:01:02.0000, -1.077095550325140E+05, -2.115999338471119E+05, -1.254443112731643E+05, -3.489419083966657E-01, -1.265639465219036E+00, -7.360817988838566E-01,
2450055.292384259, A.D. 1995-Dec-03 19:01:02.0000, -1.089517587349820E+05, -2.161285513734656E+05, -1.280777538534714E+05, -3.412325920096633E-01, -1.250354196530207E+00, -7.269967774630226E-01,
2450055.334050926, A.D. 1995-Dec-03 20:01:02.0000, -1.101668527316179E+05, -2.206031593294043E+05, -1.306790867102738E+05, -3.338775692396235E-01, -1.235628319260650E+00, -7.182463507387582E-01,
2450055.375717592, A.D. 1995-Dec-03 21:01:02.0000, -1.113560669865975E+05, -2.250256977375170E+05, -1.332494998074733E+05, -3.268507409921741E-01, -1.221425934134841E+00, -7.098086194074432E-01,
2450055.417384259, A.D. 1995-Dec-03 22:01:02.0000, -1.125205414931287E+05, -2.293980165247385E+05, -1.357900631575146E+05, -3.201285076570247E-01, -1.207714142072121E+00, -7.016639837320011E-01,
2450055.459050926, A.D. 1995-Dec-03 23:01:02.0000, -1.136613362403063E+05, -2.337217957052580E+05, -1.383018067196521E+05, -3.136898697314493E-01, -1.194463143541793E+00, -6.937943442350171E-01,
